"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95",".prevAll() - get all previous sibling DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","112",".closest() - get closest ancestor DOM element","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","96",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.dom","",""
"","109",".spread() - spread an array as individual args to callback function","Connectors","2026-07-01","passed","2026-07-01","","","",""
"","446","cy.request() - make an XHR request","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","99",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","437",".as() - alias a route for later use","Aliasing","2026-07-01","passed","2026-07-01","","","",""
"","1909",".click() - click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","107","cy.setCookie() - set a browser cookie","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","81","Get underlying OS name","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.platform","",""
"","168","cy.request() with query parameters","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","239","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","76","cy.wrap() - wrap an object","Misc","2026-07-01","passed","2026-07-01","","","",""
"","245","cy.get() - query DOM elements","Querying","2026-07-01","passed","2026-07-01","","","",""
"","773",".check() - check a checkbox or radio element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","210","cy.wait() - wait for a specific route","Waiting","2026-07-01","passed","2026-07-01","","","",""
"","196","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","257",".should() - make an assertion about the current subject","Assertions","2026-07-01","passed","2026-07-01","","Implicit Assertions","",""
"","85","Control what is printed to the Command Log","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.log","",""
"","159",".scrollIntoView() - scroll an element into view","Actions","2026-06-30","passed","2026-06-30","","","",""
"","253","can filter for completed tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","110","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","401",".submit() - submit a form","Actions","2026-06-30","passed","2026-06-30","","","",""
"","183","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","92",".filter() - get DOM elements that match the selector","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","4439","cy.wait() - wait for a specific amount of time","Waiting","2026-07-01","passed","2026-07-01","","","",""
"","308","cy.getCookie() - get a browser cookie","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","93","cy.url() - get the current URL","Location","2026-07-01","passed","2026-07-01","","","",""
"","906",".select() - select an option in a <select> element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","91","cy.fixture() or require - load a fixture","Files","2026-07-01","passed","2026-07-01","","","",""
"","86",".prev() - get previous sibling DOM element","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","84","cy.document() - get the document object","Window","2026-07-01","passed","2026-07-01","","","",""
"","588","displays two todo items by default","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","87",".siblings() - get all sibling DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","179","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","121",".invoke() - invoke a function on the current subject","Connectors","2026-07-01","passed","2026-07-01","","","",""
"","259","can delete all completed tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","174","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-07-01","passed","2026-07-01","","","",""
"","3683",".type() - type into a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","91","yields the value yielded by the last Cypress command inside","Connectors","2026-07-01","passed","2026-07-01","",".then()","",""
"","412","can add new todo items","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","106",".nextAll() - get all next sibling DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","177","cy.clearCookie() - clear a browser cookie","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","86",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","106","yields the original subject without return","Connectors","2026-07-01","passed","2026-07-01","",".then()","",""
"","84","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-07-01","passed","2026-07-01","","","",""
"","470",".clear() - clears an input or textarea element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","87",".first() - get first DOM element","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","215",".add() - create a custom command","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.Commands","",""
"","354",".as() - alias a DOM element for later use","Aliasing","2026-07-01","passed","2026-07-01","","","",""
"","100","matches unknown text between two elements","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","2809","cy.viewport() - set the viewport size and dimension","Viewport","2026-07-01","passed","2026-07-01","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","222","cy.request() - pass result to the second request","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","119","cy.getAllCookies() - get all browser cookies","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","222","cy.request() - verify response using BDD syntax","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","348","cy.reload() - reload the page","Navigation","2026-07-01","passed","2026-07-01","","","",""
"","1073","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-07-01","passed","2026-07-01","","","",""
"","87","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","604","best practices - selecting elements","Querying","2026-07-01","passed","2026-07-01","","","",""
"","84","Get environment variables","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.env()","",""
"","162","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-07-01","passed","2026-07-01","","","",""
"","390","cy.intercept() - route responses to matching requests","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","97",".last() - get last DOM element","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","129",".debug() - enable or disable debugging","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.Cookies","",""
"","105",".and() - chain multiple assertions together","Assertions","2026-07-01","passed","2026-07-01","","Implicit Assertions","",""
"","276","Cypress._ - call a lodash method","Utilities","2026-07-01","passed","2026-07-01","","","",""
"","92","Get current version of Cypress being run","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.version","",""
"","74","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-07-01","passed","2026-07-01","","Cypress.Screenshot","",""
"","263","can filter for uncompleted tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","91",".parents() - get parent DOM elements from DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","101","cy.readFile() - read file contents","Files","2026-07-01","passed","2026-07-01","","","",""
"","30","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","99",".not() - remove DOM elements from set of DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","199","cy.window() - get the global window object","Window","2026-07-01","passed","2026-07-01","","","",""
"","93",".within() - query DOM elements within a specific element","Querying","2026-07-01","passed","2026-07-01","","","",""
"","155","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-01","passed","2026-07-01","","","",""
"","304","cy.visit() - visit a remote url","Navigation","2026-07-01","passed","2026-07-01","","","",""
"","162","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-01","passed","2026-07-01","","","",""
"","2137","cy.scrollTo() - scroll the window or element to a position","Actions","2026-06-30","passed","2026-06-30","","","",""
"","110","cy.location() - get window.location","Location","2026-07-01","passed","2026-07-01","","","",""
"","86","Get current spec information","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.spec","",""
"","204","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-07-01","passed","2026-07-01","","","",""
"","119","invokes a callback function with the current subject","Connectors","2026-07-01","passed","2026-07-01","",".then()","",""
"","771",".uncheck() - uncheck a checkbox element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","252","cy.focused() - get the DOM element that has focus","Misc","2026-07-01","passed","2026-07-01","","","",""
"","212","cy.request() - save response in the shared test context","Network Requests","2026-07-01","passed","2026-07-01","","","",""
"","124","cy.contains() - query DOM elements with matching content","Querying","2026-07-01","passed","2026-07-01","","","",""
"","111","Get and set configuration options","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.config()","",""
"","84","assert - assert shape of an object","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","193","cy.hash() - get the current URL hash","Location","2026-07-01","passed","2026-07-01","","","",""
"","909","cy.exec() - execute a system command","Misc","2026-07-01","passed","2026-07-01","","","",""
"","1593","retries the should callback until assertions pass","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","107",".find() - get descendant DOM elements of the selector","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","810","cy.screenshot() - take a screenshot","Misc","2026-07-01","passed","2026-07-01","","Cypress.Screenshot","",""
"","182",".rightclick() - right click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","92",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","187","cy.writeFile() - write to a file","Files","2026-07-01","passed","2026-07-01","","","",""
"","120",".trigger() - trigger an event on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","327","cy.fixture() - load a fixture","Files","2026-07-01","passed","2026-07-01","","","",""
"","955","cy.go() - go back or forward in the browser's history","Navigation","2026-07-01","passed","2026-07-01","","","",""
"","180","can check off an item as completed","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","78","cy.title() - get the title","Window","2026-07-01","passed","2026-07-01","","","",""
